variavel,bloco,hipotese,fonte,referencia,natureza,unidade,descricao,como_ler,formula,tipo,preenchimento,distintos
ano,chave,nao aplicavel,"Silver, camada de alunos",2024,direta,ano,ciclo da avaliação,Ano do ciclo avaliado. Vale 2024 em todas as linhas; serve para rastrear a origem e não entra no modelo.,,Int64,100.0,1
id_municipio,chave,nao aplicavel,"Silver, camada de alunos",2024,direta,código IBGE de 7 dígitos,código IBGE do município,"Município em que o aluno estuda. O primeiro dígito indica a região e os dois primeiros, a UF (35 é São Paulo). É a chave de junção com as fontes externas e o critério da partição; não entra no modelo como número.",,str,100.0,5517
alvo,resposta,nao aplicavel,"Silver, camada de alunos",2024,derivada,0 ou 1,1 se o aluno foi classificado como alfabetizado,"1 quando a proficiência do aluno atingiu 743 pontos na escala do SAEB, ponto de corte que o INEP adota para considerar a criança alfabetizada; 0 caso contrário. A média do campo num grupo de alunos é a taxa de alfabetização desse grupo.",proficiência >= 743,int64,100.0,2
peso_aluno,ponderação,nao aplicavel,"Silver, camada de alunos",2024,direta,peso amostral,"peso amostral calibrado pelo INEP, reservado à ponderação","Quantos alunos da população cada aluno avaliado representa, segundo a calibração do INEP. Um peso de 1,2 significa que o aluno vale por 1,2 aluno no cálculo da taxa oficial. Serve para ponderar e nunca como atributo.",,float64,100.0,540
particao,controle,nao aplicavel,construída neste notebook,2024,derivada,"categoria: treino, validacao, teste","conjunto de destino: treino, validação ou teste","Conjunto a que a linha pertence. Todos os alunos de um município estão no mesmo conjunto, para que o teste seja feito com municípios que o modelo não viu.",sorteio por município,str,100.0,3
rede_nome,aluno,controle do aluno,"Silver, camada de alunos",2024,direta,"categoria: Estadual, Municipal, Privada",rede de ensino que atende o aluno,Rede que mantém a escola do aluno. É o único atributo que distingue alunos do mesmo município: as variáveis de rede assumem o valor da rede indicada aqui.,,str,100.0,3
rede_taxa_ant,desempenho anterior,H8 inercia territorial,"Silver, indicador municipal por rede",2023,direta,"% de alunos, de 0 a 100",taxa de alfabetização da rede do aluno no município,"Percentual de alunos da mesma rede, no mesmo município, considerados alfabetizados em 2023. Um valor de 62 significa que 62 de cada 100 alunos daquela rede atingiram o ponto de corte no ano anterior.",,float64,98.1,4059
rede_media_portugues_ant,desempenho anterior,H8 inercia territorial,"Silver, indicador municipal por rede",2023,direta,pontos na escala do SAEB,proficiência média em português da rede,"Proficiência média dos alunos da rede no município em 2023. Complementa a taxa: duas redes com a mesma taxa podem ter médias diferentes, conforme a distância dos seus alunos em relação ao ponto de corte de 743.",,float64,98.1,6397
uf_rede_taxa_ant,desempenho anterior,H8 inercia territorial,"Silver, indicador municipal por rede",2023,derivada,"% de alunos, de 0 a 100",benchmark: mediana da mesma rede entre os municípios da UF,Mediana da taxa de 2023 entre as redes do mesmo tipo (estadual ou municipal) nos municípios da mesma UF. É o padrão de referência: diz o que é típico para aquela rede naquele estado.,mediana por UF e rede,float64,98.1,46
rede_vs_uf,desempenho anterior,H8 inercia territorial,"Silver, indicador municipal por rede",2023,derivada,pontos percentuais,posição da rede diante do padrão do seu estado,Taxa da rede do aluno menos a mediana da mesma rede no estado. Positivo indica rede acima do padrão estadual; um valor de -8 significa que a rede ficou 8 pontos abaixo da mediana das redes equivalentes do estado.,rede_taxa_ant - uf_rede_taxa_ant,float64,98.1,5245
rede_vs_municipio,desempenho anterior,H8 inercia territorial,"Silver, indicador municipal por rede",2023,derivada,pontos percentuais,posição da rede diante do seu município,"Taxa da rede do aluno menos a taxa do município como um todo. Positivo indica que o aluno estuda na rede de melhor desempenho do município; perto de zero, que a rede do aluno é a predominante ou que as redes se equivalem.",rede_taxa_ant - mun_taxa_ant,float64,89.2,1690
mun_taxa_ant,desempenho anterior,H8 inercia territorial,"Gold, indicador municipal",2023,direta,"% de alunos, de 0 a 100",taxa de alfabetização do município na rede pública,"Taxa de alfabetização do município em 2023, somando as redes públicas, conforme o indicador oficial do INEP. Descreve o território como um todo, independentemente da rede do aluno.",,float64,89.2,3517
mun_participacao_ant,desempenho anterior,H8 inercia territorial,"Gold, indicador municipal",2023,direta,"% de alunos, de 0 a 100",percentual de alunos presentes na avaliação anterior,"Percentual dos alunos previstos que compareceram à avaliação de 2023. Participação baixa torna a taxa menos representativa, porque os ausentes podem ter perfil diferente dos presentes.",,float64,76.9,2483
mun_taxa_ajustada_ant,desempenho anterior,H8 inercia territorial,"Gold, indicador municipal",2023,derivada,"% de alunos, de 0 a 100",taxa com ausentes contados como não alfabetizados,Taxa de 2023 recalculada como se todos os ausentes fossem não alfabetizados. É um limite inferior: a distância entre ela e mun_taxa_ant mostra quanto a ausência pode estar elevando o resultado.,mun_taxa_ant * mun_participacao_ant / 100,float64,76.9,4811
mun_alunos_ant,desempenho anterior,controle de escala,"Gold, indicador municipal",2023,direta,alunos,alunos presentes no município no ciclo anterior,Alunos presentes na avaliação de 2023 no município. Indica o tamanho da amostra por trás da taxa anterior: taxas de municípios com poucos alunos oscilam mais de um ano para outro.,,float64,76.9,905
mun_meta_ciclo,desempenho anterior,H8 inercia territorial,"Gold, metas pactuadas","2024, pactuada previamente",direta,"% de alunos, de 0 a 100",meta de alfabetização pactuada para o ciclo corrente,"Taxa de alfabetização que o município se comprometeu a atingir em 2024, no pacto federativo. É conhecida antes da prova, por isso não é vazamento. Vazia quando o município não tem meta registrada.",,float64,86.5,2592
mun_gap_meta,desempenho anterior,H8 inercia territorial,"Gold, metas pactuadas",2023 e 2024,derivada,pontos percentuais,esforço requerido para atingir a meta,Meta de 2024 menos a taxa de 2023: quanto o município precisa avançar. Um valor de 10 significa que a meta exige subir 10 pontos em um ano; negativo indica município que já estava acima da meta.,mun_meta_ciclo - mun_taxa_ant,float64,86.5,2170
sigla_uf,território,controle territorial,"IBGE, Censo Demográfico",2022,direta,categoria: UF,unidade da federação,"Unidade da federação do município. Captura o que é comum aos municípios do estado: política estadual de alfabetização, regime de colaboração entre estado e municípios e história educacional.",,str,100.0,26
nome_regiao,território,controle territorial,"IBGE, código do município",estável,derivada,categoria: 5 regiões,região do país,"Grande região do país, derivada do primeiro dígito do código IBGE. É uma versão mais agregada da UF.",primeiro dígito do código IBGE do município,str,100.0,5
rede_porte_atual,porte e oferta,controle de escala,"Silver, camada de alunos","2024, cadastro prévio",derivada,alunos,alunos avaliáveis na rede do aluno no município,"Alunos do 2º ano da rede do aluno no município em 2024, presentes e ausentes. Vem do cadastro da avaliação, definido antes da prova.",contagem de matriculados,int64,100.0,1066
mun_porte_atual,porte e oferta,controle de escala,"Silver, camada de alunos","2024, cadastro prévio",derivada,alunos,alunos avaliáveis no município,"Alunos do 2º ano do município em 2024, somando as redes. Medida da escala da oferta.",contagem de matriculados,int64,100.0,1051
rede_peso_no_municipio,porte e oferta,controle de escala,"Silver, camada de alunos",2024,derivada,"fração, de 0 a 1",fração dos alunos do município atendida pela rede,"Parte dos alunos do município que estuda na rede do aluno. Um valor de 0,9 indica a rede predominante; 0,1, uma rede minoritária naquele território.",rede_porte_atual / mun_porte_atual,float64,100.0,1809
esc_quantidade,porte e oferta,controle de escala,"INEP, Censo Escolar",2023,direta,escolas,escolas em atividade da rede no município,"Escolas em atividade da rede no município em 2023, de qualquer etapa. Mede a capilaridade da rede; não se restringe às escolas que oferecem o 2º ano.",,Int64,100.0,182
esc_alunos_por_sala,porte e oferta,H4 densidade da sala,"INEP, Censo Escolar",2023,proxy,alunos por sala,"densidade física da rede: alunos por sala em uso, na falta de metragem","Matrícula total da rede dividida pelas salas de aula em uso. Como a sala atende mais de um turno, o valor pode passar de 40 sem indicar superlotação; a leitura é comparativa entre redes. Quanto maior, mais pressionado o espaço físico.",matrícula total da rede / salas em uso,Float64,100.0,5878
turma_media_alunos,porte e oferta,H4 densidade da sala,"INEP, Censo Escolar, turmas",2023,direta,alunos por turma,"tamanho médio da turma do 2º ano, a série avaliada","Número médio de alunos nas turmas do 2º ano da rede no município, em 2023. É a medida mais direta de quantas crianças um professor alfabetizador atende ao mesmo tempo.",,float64,100.0,251
esc_pct_rural,infraestrutura,H1 deslocamento e desgaste,"INEP, Censo Escolar",2023,derivada,"% de alunos, de 0 a 100",alunos do 2º ano que estudam em escolas de zona rural,"Percentual das matrículas do 2º ano da rede que estão em escolas localizadas em zona rural. Diz onde fica a escola, e não onde mora o aluno.",matriculas do 2º ano em escolas rurais / matriculas do 2º ano,float64,100.0,789
esc_pct_alunos_zona_rural,infraestrutura,H1 deslocamento e desgaste,"INEP, Censo Escolar",2023,proxy,"% de alunos, de 0 a 100","alunos que residem em zona rural, aproximação da distância vivida até a escola","Percentual dos alunos da rede, em todas as séries, que residem em zona rural. Diz onde mora o aluno: uma escola urbana pode receber muitos alunos da zona rural, que percorrem distâncias maiores.",matriculas com residência rural / total de matriculas,float64,100.0,847
esc_pct_agua_rede,infraestrutura,H2 infraestrutura basica,"INEP, Censo Escolar",2023,direta,"% de escolas, de 0 a 100",escolas com abastecimento de água pela rede pública,"Percentual das escolas em atividade da rede abastecidas pela rede pública de água. Um valor de 70 significa que 70 de cada 100 escolas têm água da rede pública; as demais usam poço, cisterna, rio ou não têm abastecimento.",,float64,100.0,568
esc_pct_esgoto_rede,infraestrutura,H2 infraestrutura basica,"INEP, Censo Escolar",2023,direta,"% de escolas, de 0 a 100",escolas com esgotamento sanitário pela rede pública,"Percentual das escolas ligadas à rede pública de esgoto. As demais usam fossa ou não têm esgotamento. Em zona rural a fossa é a solução usual, então valor baixo não significa, por si, ausência de saneamento.",,float64,100.0,580
esc_pct_energia_rede,infraestrutura,H2 infraestrutura basica,"INEP, Censo Escolar",2023,direta,"% de escolas, de 0 a 100",escolas com energia elétrica da rede pública,"Percentual das escolas atendidas pela rede pública de energia elétrica. As demais usam gerador, energia solar ou não têm energia.",,float64,100.0,196
esc_pct_internet,infraestrutura,H3 recursos pedagogicos,"INEP, Censo Escolar",2023,direta,"% de escolas, de 0 a 100",escolas com acesso à internet,"Percentual das escolas com acesso à internet, para qualquer uso: administrativo, pedagógico ou dos alunos.",,float64,100.0,420
esc_pct_biblioteca_ou_sala_leitura,infraestrutura,H3 recursos pedagogicos,"INEP, Censo Escolar",2023,direta,"% de escolas, de 0 a 100",escolas com biblioteca ou sala de leitura,"Percentual das escolas com biblioteca ou sala de leitura. Substitui a contagem só de bibliotecas, que subestimava o acesso a livros nas redes que organizam o acervo em salas de leitura: na rede municipal da capital paulista, 6% das escolas têm biblioteca e 50% têm biblioteca ou sala de leitura.",,float64,100.0,612
esc_pct_lab_informatica,infraestrutura,H3 recursos pedagogicos,"INEP, Censo Escolar",2023,direta,"% de escolas, de 0 a 100",escolas com laboratório de informática,Percentual das escolas com laboratório de informática.,,float64,100.0,498
esc_pct_quadra,infraestrutura,H3 recursos pedagogicos,"INEP, Censo Escolar",2023,direta,"% de escolas, de 0 a 100",escolas com quadra de esportes,"Percentual das escolas com quadra de esportes, coberta ou descoberta.",,float64,100.0,549
esc_pct_alimentacao,infraestrutura,H2 infraestrutura basica,"INEP, Censo Escolar",2023,direta,"% de escolas, de 0 a 100",escolas que oferecem alimentação aos alunos,"Percentual das escolas que oferecem alimentação aos alunos. É quase universal na rede pública, por força do programa nacional de alimentação escolar; valores baixos merecem suspeita de falha de registro.",,float64,100.0,81
esc_pct_transporte,infraestrutura,H1 deslocamento e desgaste,"INEP, Censo Escolar",2023,proxy,% de alunos,"dependência de transporte escolar, aproximação da distância entre aluno e escola","Alunos da rede que usam transporte escolar público, divididos pela matrícula total da rede. Um valor de 30 significa que 3 em cada 10 alunos dependem de transporte para chegar à escola, o que indica distância entre casa e escola.",alunos transportados / matrícula total da rede,Float64,100.0,6414
esc_pct_area_diferenciada,infraestrutura,H13 contexto linguistico e cultural,"INEP, Censo Escolar",2023,derivada,"% de escolas, de 0 a 100","escolas em terra indígena, quilombo, assentamento ou comunidade tradicional","Percentual das escolas da rede localizadas em área diferenciada: terra indígena, área remanescente de quilombo, assentamento, unidade de uso sustentável ou comunidade tradicional. Na maior parte das redes vale zero, e a leitura útil é presença ou ausência.",escolas com código de área diferenciada diferente de zero / escolas em atividade,float64,100.0,344
esc_pct_coordenador,profissionais,H5 suporte especializado,"INEP, Censo Escolar",2023,direta,"% de escolas, de 0 a 100",escolas com coordenador pedagógico,"Percentual das escolas com ao menos um coordenador pedagógico, profissional que organiza e acompanha o trabalho dos professores.",,float64,100.0,510
esc_pct_psicologo,profissionais,H5 suporte especializado,"INEP, Censo Escolar",2023,direta,"% de escolas, de 0 a 100",escolas com psicólogo,"Percentual das escolas com psicólogo no quadro. O Censo registra o profissional lotado na escola; o atendimento prestado pela secretaria de educação, de fora da escola, não aparece aqui.",,float64,100.0,320
esc_pct_assistente_social,profissionais,H5 suporte especializado,"INEP, Censo Escolar",2023,direta,"% de escolas, de 0 a 100",escolas com assistente social,Percentual das escolas com assistente social no quadro. Vale a mesma ressalva do psicólogo: o atendimento feito pela secretaria de educação não aparece.,,float64,100.0,279
